hostname,ip,username,password,enable_password,protocol,os
xe1,198.18.0.121,helena,helena,helena,ssh,iosxe
xe2,198.18.0.122,cisco,cisco,cisco,ssh,iosxe
xe3,198.18.0.123,cisco,cisco,cisco,ssh,iosxe
xr1,198.18.0.131,cisco,cisco,cisco,ssh,iosxr
xr2,198.18.0.132,cisco,cisco,cisco,ssh,iosxr
xr3,198.18.3.133,cisco,cisco,cisco,ssh,iosxr
nsox1,198.18.3.131,cisco,cisco,cisco,ssh,nxos
nsox2,198.18.3.132,cisco,cisco,cisco,ssh,nxos
nsox3,198.18.3.133,cisco,cisco,cisco,ssh,nxos
ios1,198.18.3.131,cisco,cisco,cisco,ssh,ios
ios2,198.18.3.132,cisco,cisco,cisco,ssh,ios
ios3,198.18.3.133,cisco,cisco,cisco,ssh,ios
xe11,198.18.0.121,cisco,cisco,cisco,ssh,iosxe
xe12,198.18.0.122,cisco,cisco,cisco,ssh,iosxe
xe13,198.18.0.123,cisco,cisco,cisco,ssh,iosxe
xr11,198.18.0.131,cisco,cisco,cisco,ssh,iosxr
xr12,198.18.0.132,cisco,cisco,cisco,ssh,iosxr
xr13,198.18.3.133,cisco,cisco,cisco,ssh,iosxr
nsox11,198.18.3.131,cisco,cisco,cisco,ssh,nxos
nsox12,198.18.3.132,cisco,cisco,cisco,ssh,nxos
nsox13,198.18.3.133,cisco,cisco,cisco,ssh,nxos
ios11,198.18.3.131,cisco,cisco,cisco,ssh,ios
ios12,198.18.3.132,cisco,cisco,cisco,ssh,ios
ios13,198.18.3.133,cisco,cisco,cisco,ssh,ios
